0000011,上证指数,0,-1.9,-1.6, 1,web,web,-,-,-,-
3990012,深圳指数,0,-2.6,-2.8, 2,web,web,-,-,-,-
3990052,中小板,0,-2.9,-4.3, 3,web,web,-,-,-,-
3990062,创业板,0,-2.1,-2.7, 4,web,web,-,-,-,-
BK06111,上证50_,1,-1.8,-2.3, 5,web,web,-,-,-,-
BK05001,HS300_,0,-2.5,-2.4, 6,web,web,-,-,-,-
BK07011,中证500,0,-3.6,-3.1, 7,web,web,-,-,-,-
BK06121,上证180_,0,-2.1,-1.9, 8,web,web,-,-,-,-
BK07051,上证380,0,-2.4,-3.2, 9,web,web,-,-,-,-
BK07431,深证100R,1,-3.1,-3.0,10,-,-,-,-,-,-
BK05681,深成500,0,-4.3,-3.0,11,-,-,-,-,-,-
1-----,------,--,--,--,12,--,--,--,--,--,--
BK04751,银行,4,-1.0,-2.7,13,   7.9,  1.0, 3.5,亿136.5,万亿 0.3, 32
BK04741,保险,3,-3.5,-3.3,14,  37.6,  1.9, 4.2,亿123.8,万亿 0.4,  7
BK04731,券商信托,0,-2.7,-1.3,15,  20.6,  1.8, 2.6,亿 9.9,亿571.2, 41
BK04511,房地产,0,-1.2,-2.7,16,  43.9,  2.8, 1.7,亿 3.1,亿170.6,130
BK05051,中字头,1,-2.6,-1.2,17,-,-,-,-,-,-
BK08111,超级品牌,2,-0.6,-1.1,18,-,-,-,-,-,-
BK05921,铁路基建,0,-3.5,-0.9,19,-,-,-,-,-,-
BK06961,国产软件,2,-2.2,2.5,20,-,-,-,-,-,-
BK06551,网络安全,3,-3.1,-1.2,21,-,-,-,-,-,-
BK05791,云计算,2,-2.7,0.4,22,-,-,-,-,-,-
BK06341,大数据,1,-2.9,-0.2,23,-,-,-,-,-,-
BK04901,军工,1,-2.2,1.6,24,-,-,-,-,-,-
2-----,------,--,--,--,25,--,--,--,--,--,--
BK04641,石油行业,0,-3.3,-3.8,26,  87.2,  7.5,-0.4,亿 7.0,亿593.2, 39
BK04371,煤炭采选,1,-3.1,-0.9,27,  22.3,  1.4, 2.5,亿 7.8,亿264.8, 34
BK04781,有色金属,2,-1.5,1.5,28,  98.2,  2.5,-2.2,亿 0.8,亿119.8, 79
BK07321,贵金属,1,-3.0,-7.4,29, -54.4,  4.8, 0.7,亿 1.1,亿161.6, 14
3-----,------,--,--,--,30,--,--,--,--,--,--
